author,book_id,book_title
Jane Austen,1885,Pride and Prejudice
F. Scott Fitzgerald,4671,The Great Gatsby
Harper Lee,2657,To Kill a Mockingbird
J.D. Salinger,5107,The Catcher in the Rye
George Orwell,7613,Animal Farm
William Golding,7624,Lord of the Flies
Louisa May Alcott,1934,"Little Women (Little Women, #1)"
William Shakespeare,18135,Romeo and Juliet
Mary Wollstonecraft Shelley,18490,Frankenstein
John Steinbeck,890,Of Mice and Men
Oscar Wilde,5297,The Picture of Dorian Gray
Mark Twain,2956,The Adventures of Huckleberry Finn
Charles Dickens,1953,A Tale of Two Cities
Jane Austen,6969,Emma
Charles Dickens,2623,Great Expectations
Bram Stoker,17245,Dracula
Ray Bradbury,4381,Fahrenheit 451
Homer,1381,The Odyssey
Jane Austen,2156,Persuasion
William Shakespeare,1420,Hamlet
Leo Tolstoy,15823480,Anna Karenina
Alexandre Dumas,7126,The Count of Monte Cristo
J.R.R. Tolkien,5907,The Hobbit
Charles Dickens,5326,A Christmas Carol
Victor Hugo,24280,Les Misérables
Frances Hodgson Burnett,2998,The Secret Garden
Aldous Huxley,5129,Brave New World
Jane Austen,50398,Northanger Abbey
Mark Twain,24583,The Adventures of Tom Sawyer
John Steinbeck,18114322,The Grapes of Wrath
Anne Frank,48855,The Diary of a Young Girl
Ernest Hemingway,2165,The Old Man and the Sea
Margaret Mitchell,18405,Gone with the Wind
William Shakespeare,1622,A Midsummer Night's Dream
Kurt Vonnegut Jr.,4981,Slaughterhouse-Five
Herman Melville,153747,"Moby-Dick or, The Whale"
Lewis Carroll,24213,Alice's Adventures in Wonderland & Through the Looking-Glass
Charles Dickens,18254,Oliver Twist
Homer,1371,The Iliad
Robert Louis Stevenson,295,Treasure Island
Joseph Heller,168668,"Catch-22 (Catch-22, #1)"
Robert Louis Stevenson,51496,The Strange Case of Dr. Jekyll and Mr. Hyde
Joseph Conrad,4900,Heart of Darkness
J.R.R. Tolkien,34,"The Fellowship of the Ring (The Lord of the Rings, #1)"
Alexandre Dumas,7190,"The Three Musketeers (The D'Artagnan Romances, #1)"
Daphne du Maurier,17899948,Rebecca
Franz Kafka,485894,The Metamorphosis
John Steinbeck,4406,East of Eden
C.S. Lewis,100915,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)"
Thomas Hardy,32261,Tess of the D'Urbervilles
Gustave Flaubert,2175,Madame Bovary
William Shakespeare,12996,Othello
Albert Camus,49552,The Stranger
Ken Kesey,332613,One Flew Over the Cuckoo's Nest
Oscar Wilde,92303,The Importance of Being Earnest
H.G. Wells,2493,The Time Machine
Jonathan Swift,7733,Gulliver's Travels
Charles Dickens,58696,David Copperfield
Miguel de Cervantes Saavedra,3836,Don Quixote
Lewis Carroll,13023,Alice in Wonderland
Arthur Miller,17250,The Crucible
Unknown,52357,Beowulf
J.M. Barrie,34268,Peter Pan
Ernest Hemingway,3876,The Sun Also Rises
Daniel Defoe,2932,Robinson Crusoe
Margaret Atwood,38447,The Handmaid's Tale
Jack London,1852,The Call of the Wild
E.B. White,24178,Charlotte's Web
Gabriel García Márquez,320,One Hundred Years of Solitude
Frances Hodgson Burnett,3008,A Little Princess
Gaston Leroux,480204,The Phantom of the Opera
Voltaire,19380,Candide
Fyodor Dostoyevsky,4934,The Brothers Karamazov
Betty  Smith,14891,A Tree Grows in Brooklyn
J.R.R. Tolkien,15241,"The Two Towers (The Lord of the Rings, #2)"
William Shakespeare,12957,Much Ado About Nothing
Virginia Woolf,14942,Mrs. Dalloway
Ernest Hemingway,10799,A Farewell to Arms
Harriet Beecher Stowe,46787,Uncle Tom's Cabin
Victor Hugo,30597,The Hunchback of Notre-Dame
J.R.R. Tolkien,18512,"The Return of the King (The Lord of the Rings, #3)"
Arthur Conan Doyle,3590,The Adventures of Sherlock Holmes
Elizabeth Gaskell,156538,North and South
Arthur Conan Doyle,8921,The Hound of the Baskervilles
Hermann Hesse,52036,Siddhartha
Erich Maria Remarque,355697,All Quiet on the Western Front
William Shakespeare,13006,Julius Caesar
William Shakespeare,12938,King Lear
George Eliot,19089,Middlemarch
Jules Verne,33507,Twenty Thousand Leagues Under the Sea
Richard Adams,76620,"Watership Down (Watership Down, #1)"
Jules Verne,54479,"Around the World in Eighty Days (Extraordinary Voyages, #11)"
Arthur Conan Doyle,102868,A Study in Scarlet
Edith Wharton,53835,The Age of Innocence
John Milton,15997,Paradise Lost
H.G. Wells,8909,The War of the Worlds
Wilkie Collins,5890,The Woman in White
George Orwell,5470,1984
Dante Alighieri,15645,Inferno (The Divine Comedy #1)
Jack Kerouac,70401,On the Road
William Shakespeare,1625,Twelfth Night
Ernest Hemingway,46170,For Whom the Bell Tolls
William Makepeace Thackeray,5797,Vanity Fair
William Shakespeare,47021,The Taming of the Shrew
E.M. Forster,3087,A Room with a View
